,GUAT,MEX,COL,HAW,AUS,AFRI,MED,SAME,CAME
GUAT,0,NA,NA,NA,NA,NA,NA,NA,NA
MEX,0.03007033750165,NA,NA,NA,NA,NA,NA,NA,NA
COL,0.824983066184572,0.703091628646499,NA,NA,NA,NA,NA,NA,NA
HAW,0.404150889214285,0.309217400894075,0.61403392830797,NA,NA,NA,NA,NA,NA
AUS,0.387334923789416,0.312098199487871,0.675726312681713,0.078736479320966,NA,NA,NA,NA,NA
AFRI,0.156014007120438,0.096779893466649,0.500713536728186,0.135151209124703,0.124831281755652,NA,NA,NA,NA
MED,0.3495869109906,0.271884994686879,0.643727432822317,0.032333276256849,0.036826462402835,0.097386111296075,NA,NA,NA
SAME,0.314558330572535,0.242167274578643,0.591593373345795,0.057903241977125,0.021718965272815,0.099716498275726,0.039944671444147,NA,NA
CAME,0.432550108175042,0.341073226999392,0.657961111196401,0.016569111871892,0.075388302726172,0.158045747929938,0.022155255303189,0.063139369877573,NA
