"","GUAT","MEX","COL","HAW","AUS","AFRI","MED","SAME","CAME"
"GUAT",NA,NA,NA,NA,NA,NA,NA,NA,NA
"MEX",0.0740211246461345,NA,NA,NA,NA,NA,NA,NA,NA
"COL",1,1,NA,NA,NA,NA,NA,NA,NA
"HAW",0.783282954929751,0.719304078031112,0.986387095620847,NA,NA,NA,NA,NA,NA
"AUS",0.707370038279053,0.668795559723547,0.976058131287627,0.221932410773322,NA,NA,NA,NA,NA
"AFRI",0.416103438637541,0.309445382212701,0.97472414495243,0.460429933876855,0.388294560552121,NA,NA,NA,NA
"MED",0.6921568728813,0.637742805153622,0.997750438491266,0.101527804102549,0.105808493807553,0.334273830451411,NA,NA,NA
"SAME",0.646928360517602,0.589277401704506,0.957709415699628,0.179929480584408,0.0641547509220325,0.347190188719498,0.123505755362419,NA,NA
"CAME",0.790843572130064,0.742052681844833,0.991915638759295,0.0515791537345415,0.204245198376248,0.499957370592234,0.0671386378287406,0.186459125261057,NA
