"","GUAT","MEX","COL","HAW","AUS","AFRI","MED","SAME","CAME"
"ccmic6",1.41519142408359,2.36880724236735,1,2.41134889940378,2.31671817127312,4.12241761440007,3.53129007294779,3.57007818814756,1.98428332162418
"ccmic14",1.88492107969206,1.99999941130475,1,1.99999999999228,2.11477214212124,2.8415164247776,1.99991373284809,3.32616390016037,3.8952197573185
"ccmic15",1.99994283382971,1.99999972823732,2.66311943172605,1.99999999993332,1.99997212847311,3.31744798767868,2.57834664238354,2.14929714623542,1.9999999963146
