"","GUAT","MEX","COL","HAW","AUS","AFRI","MED","SAME","CAME"
"GUAT",NA,NA,NA,NA,NA,NA,NA,NA,NA
"MEX",0.0166056266407083,NA,NA,NA,NA,NA,NA,NA,NA
"COL",1,1,NA,NA,NA,NA,NA,NA,NA
"HAW",0.489294477351804,0.468006307806079,0.943073520855229,NA,NA,NA,NA,NA,NA
"AUS",0.337361012718981,0.368263392499349,0.876277290001903,0.0889361479791427,NA,NA,NA,NA,NA
"AFRI",0.20023245724555,0.161459743144359,0.924027946654709,0.291791097554416,0.213791124880045,NA,NA,NA,NA
"MED",0.361235095021575,0.367202314221877,0.98962124422596,0.0414853349212671,0.0374305565027529,0.190618866459083,NA,NA,NA
"SAME",0.322869785027558,0.326782608590956,0.835190201787825,0.0791229735676957,0.0226010669724671,0.202578167514503,0.0505698034784805,NA,NA
"CAME",0.471976173249482,0.475015651923025,0.960812770171146,0.0196206474620399,0.0744813114224152,0.312228378981828,0.0248665250961748,0.0768025625897139,NA
