"","GUAT","MEX","COL","HAW","AUS","AFRI","MED","SAME","CAME"
"GUAT",NA,NA,NA,NA,NA,NA,NA,NA,NA
"MEX",0.370606033226164,NA,NA,NA,NA,NA,NA,NA,NA
"COL",1,1,NA,NA,NA,NA,NA,NA,NA
"HAW",0.921222298824153,0.897895497701204,1,NA,NA,NA,NA,NA,NA
"AUS",0.921127470391727,0.64957649735086,0.999911489408563,0.512129819993338,NA,NA,NA,NA,NA
"AFRI",0.855856570267751,0.662926534667473,0.997860456401445,0.645953644458066,0.456819894847466,NA,NA,NA,NA
"MED",0.891177573192767,0.722060442547111,0.999953261452773,0.439756118031018,0.223059753552989,0.370386277004431,NA,NA,NA
"SAME",0.797908168903432,0.671578625481823,0.978759187854702,0.4656807420979,0.255747075833525,0.381407520056785,0.202054913114192,NA,NA
"CAME",0.873286231056648,0.901605017874158,0.991868291826449,0.379628426524198,0.590335054088649,0.650618824486686,0.329657638620008,0.427762475102866,NA
