"","Allele-1","Allele-2","Allele-3","Allele-4","Allele-5","Allele-6","Allele-7","Allele-8","Allele-9","Allele-10","Allele-11","Allele-12","Allele-13","Allele-14","Allele-15","Allele-16","Allele-17","Allele-18","Allele-19","Allele-20","Allele-21","Allele-22","Allele-23","Allele-24","Allele-25","Allele-26","Allele-27","Allele-28","Allele-29"
"CCMIC6a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"CCMIC14a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0,0,0.001,0,0,0,0,0.039,0.003,NA,NA,NA
"CCMIC15a",0,0,0,0.002,0.001,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0.017,0,0.022,0.002,0.001,0
