"","GUAT","MEX","COL","HAW","AUS","AFRI","MED","SAME","CAME"
"CCMIC6a",3.46251939433982,3.94127071752689,4.85782562020942,4.2777279363385,5.56021545512379,13.9988671099496,7.09165560882774,9.06413299570865,4.0827478786252
"CCMIC14a",6.09888814147722,6.00751221389626,4.94159451532607,1.99999999999228,2.11477214212124,8.10760375624896,2.32902322008459,4.51633886671058,5.1997452510789
"CCMIC15a",7.33238204105773,6.92904422528794,7.86631187473814,3.67032057948269,3.92880081103065,10.6829048622508,5.32227713316269,4.05502660156585,2.92854133723166
