"","GUAT","MEX","COL","HAW","AUS","AFRI","MED","SAME","CAME"
"GUAT",NA,NA,NA,NA,NA,NA,NA,NA,NA
"MEX",0.269168414642792,NA,NA,NA,NA,NA,NA,NA,NA
"COL",1,1,NA,NA,NA,NA,NA,NA,NA
"HAW",0.869096786811246,0.828674153900973,1,NA,NA,NA,NA,NA,NA
"AUS",0.865215225641904,0.496463528556436,0.999855320916853,0.332511536075137,NA,NA,NA,NA,NA
"AFRI",0.813728403965296,0.585566762350958,0.997324098381224,0.546494767880768,0.350776948451224,NA,NA,NA,NA
"MED",0.836272150930391,0.611601918298194,0.999931894930093,0.301001303496095,0.132187934435471,0.296461673949803,NA,NA,NA
"SAME",0.719534030498134,0.563872373848868,0.970442487436587,0.333705235316629,0.160561157887119,0.313985462828224,0.137676708123923,NA,NA
"CAME",0.812918960711741,0.848858770172345,0.988311614849931,0.253639895596871,0.436385017363303,0.573840192145746,0.23112015798709,0.322668859184126,NA
