"","GUAT","MEX","COL","HAW","AUS","AFRI","MED","SAME","CAME"
"GUAT",NA,NA,NA,NA,NA,NA,NA,NA,NA
"MEX",0.0745741163474333,NA,NA,NA,NA,NA,NA,NA,NA
"COL",0.172342872885502,0.184511466403588,NA,NA,NA,NA,NA,NA,NA
"HAW",0.248594452055224,0.25315896426946,0.226942845718356,NA,NA,NA,NA,NA,NA
"AUS",0.261691239718273,0.179297594078809,0.24087040650309,0.155465391514261,NA,NA,NA,NA,NA
"AFRI",0.127500758189395,0.102939563958104,0.111382851639774,0.123161019180645,0.0889321248440847,NA,NA,NA,NA
"MED",0.201450620755147,0.165769600512201,0.186048848110655,0.110189106457308,0.055249546362626,0.055450991586099,NA,NA,NA
"SAME",0.162413991252661,0.140875537785891,0.163719974345703,0.109923342805099,0.0601038156370737,0.0516799743862011,0.0387757821649763,NA,NA
"CAME",0.192378168029949,0.211377127547498,0.179448043883802,0.0921823449082939,0.1581765247692,0.099000096690636,0.0684657868678102,0.0841039142565036,NA
